point,n,type,variety,dbdsdc_seconds,dbdsvr_seconds,speedup_dbdsdc_over_dbdsvr,winner,dbdsdc_repetitions,dbdsvr_repetitions,dbdsvr_backend_path
105,3000,18,220 GRADP,0.0100937981875,0.09717607375000001,0.10387122877044616,DBDSDC,16,8,1
106,3000,19,221 GRADM,0.033620823687499996,0.09665315087500001,0.3478502602670582,DBDSDC,16,8,1
107,3000,20,222 Wilkinson+,0.16004811400000002,2.194576889,0.07292891618526473,DBDSDC,4,1,1
108,3000,21,223 Wilkinson−,0.15190071225,0.327772752,0.46343300754298206,DBDSDC,4,2,1
109,3000,22,224 Wilkinson W,0.1614239665,0.42545973400000003,0.3794106788493408,DBDSDC,4,2,3
110,3000,23,225 double Wilkinson W,0.1342925605,0.814382789,0.16490102972939913,DBDSDC,4,1,3
111,3000,24,230 Clement,22.789268604,0.350499056,65.01948639770374,DBDSVR,1,2,1
112,3000,25,240 GRO0,3.001484454,0.09256806925,32.424619831854166,DBDSVR,1,8,1
113,3000,26,241 GRO1,2.946386708,0.09385651787499999,31.39245706860825,DBDSVR,1,8,1
114,3000,27,242 GRO2,2.998708581,0.094199747875,31.833509628700796,DBDSVR,1,8,1
115,3000,28,243 GRO3,2.947826209,0.09432705762500002,31.251120126307445,DBDSVR,1,8,1
116,3000,29,244 bidiagonal Wilkinson+,0.156641289,2.033465511,0.07703169203148584,DBDSDC,4,1,1
